title,release_date,genres,overview,popularity,vote_average,vote_count
Bad Boys: Ride or Die,2024-06-05,"Action, Crime, Thriller, Comedy","After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves.",8779.976,7.623,1030
Deadpool & Wolverine,2024-07-24,"Science Fiction, Action, Comedy","A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",5979.162,8.107,605
Inside Out 2,2024-06-11,"Animation, Family, Adventure, Comedy","Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",4659.516,7.6,2114
Despicable Me 4,2024-06-20,"Animation, Family, Comedy, Action","Gru and Lucy and their girls — Margo, Edith and Agnes — welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Meanwhile, Gru faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.",3627.443,7.216,436
Justice League: Crisis on Infinite Earths Part Three,2024-07-16,"Animation, Science Fiction, Action","Now fully revealed as the ultimate threat to existence, the Anti-Monitor wages an unrelenting attack on the surviving Earths that struggle for survival in a pocket universe. One by one, these worlds and all their inhabitants are vaporized! On the planets that remain, even time itself is shattered, and heroes from the past join the Justice League and their rag-tag allies against the epitome of evil. But as they make their last stand, will the sacrifice of the superheroes be enough to save us all?",1853.313,7.742,98
My Spy The Eternal City,2024-07-18,"Action, Comedy","JJ, a veteran CIA agent, reunites with his protégé Sophie, in order to prevent a catastrophic nuclear plot targeting the Vatican.",1764.441,6.8,145
The Garfield Movie,2024-04-30,"Animation, Comedy, Family, Adventure","Garfield, the world-famous, Monday-hating, lasagna-loving indoor cat, is about to have a wild outdoor adventure! After an unexpected reunion with his long-lost father – scruffy street cat Vic – Garfield and his canine friend Odie are forced from their perfectly pampered life into joining Vic in a hilarious, high-stakes heist.",1728.916,7.209,588
Kingdom of the Planet of the Apes,2024-05-08,"Science Fiction, Adventure, Action","Several generations following Caesar's reign, apes – now the dominant species – live harmoniously while humans have been reduced to living in the shadows. As a new tyrannical ape leader builds his empire, one young ape undertakes a harrowing journey that will cause him to question all he's known about the past and to make choices that will define a future for apes and humans alike.",1575.157,7.171,2126
Furiosa: A Mad Max Saga,2024-05-22,"Action, Adventure, Science Fiction","As the world fell, young Furiosa is snatched from the Green Place of Many Mothers and falls into the hands of a great Biker Horde led by the Warlord Dementus. Sweeping through the Wasteland they come across the Citadel presided over by The Immortan Joe. While the two Tyrants war for dominance, Furiosa must survive many trials as she puts together the means to find her way home.",1388.249,7.652,2342
Deadpool,2016-02-09,"Action, Adventure, Comedy","The origin story of former Special Forces operative turned mercenary Wade Wilson, who, after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",1353.827,7.618,30266
